ID_T_EQUIP_LOG,SITE,SYS_ID,TRACK_ID,STATUS,RMK,CYCLE_COUNT,ACTION,CYCLE_TIME,REG_DTM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/27/2025 8:35:36 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/27/2025 8:35:39 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/27/2025 8:36:17 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/27/2025 8:36:22 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,50,IN,01:25,3/27/2025 8:36:40 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/27/2025 8:36:41 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/27/2025 8:36:59 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/27/2025 8:37:04 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/27/2025 8:37:44 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/27/2025 8:37:47 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,51,OUT,01:25,3/27/2025 8:38:06 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/27/2025 8:38:08 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/27/2025 8:38:27 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/27/2025 8:38:31 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/27/2025 8:39:09 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/27/2025 8:39:14 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,52,IN,01:24,3/27/2025 8:39:32 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/27/2025 8:39:33 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/27/2025 8:39:51 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/27/2025 8:39:56 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/27/2025 8:40:36 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/27/2025 8:40:38 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,53,OUT,01:26,3/27/2025 8:40:59 AM
